causeCode,numRunups,tsIntensity,oceanicTsunami,eqMagnitude,warningStatusId,
1,1,6,TRUE,,,
6,2,6,TRUE,,,
2,1,6,TRUE,,,
0,0,5,TRUE,6,,
0,0,3,TRUE,,,
1,0,6,TRUE,,,
1,0,3,TRUE,,,
1,1,3,TRUE,7,,
1,12,5,TRUE,7.1,,
3,1,5,TRUE,7.3,,
1,0,,TRUE,7,,
0,3,3,TRUE,,,
0,2,3,TRUE,,,
6,0,3,TRUE,6.2,,
0,0,,TRUE,,,
1,1,3,TRUE,6.9,,
1,0,4,TRUE,6.3,,
1,4,4,TRUE,7,,
1,3,1,TRUE,,,
1,0,4,TRUE,,,
1,0,3,TRUE,,,
1,1,,TRUE,,,
1,0,,TRUE,,,
1,3,3,TRUE,,,
1,0,3,TRUE,,,
1,11,4,TRUE,8,,
6,4,3.5,TRUE,,,
1,0,,TRUE,,,
1,1,4,TRUE,7.3,,
1,4,4,TRUE,6.8,,
3,4,4,TRUE,7.1,,
1,1,3,TRUE,7.8,,
1,3,4,TRUE,7,,
1,0,,TRUE,7,,
1,2,1,TRUE,8.4,,
1,1,1,TRUE,7,,
1,1,2,TRUE,7,,
1,2,3,TRUE,7.3,,
1,1,2,TRUE,6.4,,
1,1,1,TRUE,6.5,,
1,2,3,TRUE,7,,
6,1,1.5,TRUE,6.5,,
1,1,3,TRUE,,,
0,4,1,TRUE,,,
1,0,3,TRUE,,,
3,1,1,TRUE,7.9,,
1,2,,TRUE,,,
3,1,1,TRUE,7,,
0,1,1,TRUE,,,
1,1,3,TRUE,,,
3,1,2,TRUE,7,,
1,5,4,TRUE,8.6,,
0,2,,TRUE,,,
1,1,1,TRUE,6.5,,
1,2,3,TRUE,8.6,,
1,1,1,TRUE,7,,
1,0,3,TRUE,,,
0,1,3,TRUE,,,
1,0,,TRUE,,,
1,2,3,TRUE,7.5,,
1,5,4,TRUE,,,
1,1,,TRUE,6.8,,
1,3,4,TRUE,,,
0,1,1,TRUE,,,
1,1,1.5,TRUE,7,,
9,0,2,TRUE,,,
1,5,2,TRUE,8.4,,
0,1,,TRUE,,,
2,1,3,TRUE,,,
0,0,,TRUE,,,
3,3,5,TRUE,7.6,,
1,2,4,TRUE,6.6,,
1,2,1,TRUE,7,,
1,1,2,TRUE,7.5,,
1,3,1,TRUE,7,,
1,1,3,TRUE,6.5,,
1,1,1,TRUE,7.1,,
1,9,4,TRUE,8,,
1,0,,TRUE,7,,
1,1,3,TRUE,6.8,,
1,1,2.5,TRUE,7,,
1,3,2,TRUE,7,,
1,6,3,TRUE,8.4,,
1,3,3,TRUE,6.7,,
1,1,3,TRUE,,,
1,2,1,TRUE,7,,
9,0,1,TRUE,6.2,,
0,1,0,TRUE,,,
1,2,1,TRUE,7,,
0,2,1,TRUE,,,
1,1,1,TRUE,7.1,,
0,1,0.5,TRUE,,,
1,1,2,TRUE,7,,
1,1,3,TRUE,7.1,,
2,0,3,TRUE,,,
1,2,2,TRUE,7.1,,
1,4,,TRUE,6.4,,
1,1,,TRUE,,,
1,6,4,TRUE,8.3,,
0,1,,TRUE,,,
1,0,,TRUE,,,
1,1,3,TRUE,7.1,,
1,3,0,TRUE,,,
1,1,3,TRUE,7.7,,
1,1,1,TRUE,6.7,,
9,1,1,TRUE,,,
1,2,3,TRUE,6.5,,
0,1,1.5,TRUE,,,
0,1,0,TRUE,,,
1,1,1,TRUE,7,,
0,0,,TRUE,,,
1,4,,TRUE,,,
1,1,,TRUE,7.7,,
1,1,3,TRUE,,,
1,1,,TRUE,,,
1,1,,TRUE,,,
1,1,,TRUE,,,
1,2,,TRUE,,,
1,1,,TRUE,,,
1,1,3,TRUE,6.5,,
0,2,0.5,TRUE,,,
0,2,,TRUE,,,
2,1,3.5,TRUE,8,,
1,1,3,TRUE,8.3,,
0,1,1,TRUE,,,
0,1,,TRUE,,,
1,3,2.5,TRUE,8.5,,
0,1,1,TRUE,,,
1,4,,TRUE,5.8,,
0,1,0.5,TRUE,,,
1,4,1,TRUE,8.2,,
1,6,3.5,TRUE,8.5,,
1,3,1,TRUE,6.7,,
1,1,1.5,TRUE,7.7,,
1,1,,TRUE,,,
3,6,2,TRUE,6.9,,
3,1,1,TRUE,6.4,,
3,2,1,TRUE,7.2,,
0,1,1,TRUE,,,
1,0,,TRUE,,,
1,6,3.5,TRUE,8.5,,
1,10,3,TRUE,7.9,,
6,1,,TRUE,,,
6,1,1.5,TRUE,,,
0,0,,TRUE,,,
1,11,4,TRUE,8.1,,
1,1,1,TRUE,7.7,,
1,1,1.5,TRUE,7.5,,
1,3,1,TRUE,7,,
